TIME,ri_x,ri_y,ri_z,rb_x,rb_y,rb_z,vi_x,vi_y,vi_z,vb_x,vb_y,vb_z,e,h,a,rho,f,i,Omega,omega
159567.567567568,0.109200966278996,541.36413584893,-842.221980108966,1001.20577469718,5.6843418860808e-14,1.24844579119099e-13,-2.31713836516078e-06,-0.0606623448644307,-0.0388300116264216,-0.000136763972938998,0.0720254898514685,-9.30465692558849e-18,0.00222741414372509,72.1123363646833,1000.04131849669,1000.03635691793,-2.12278207879927,1.57087079354141,-1.57088219032379,-0.0192977269897833
160345.945945946,0.106189801208293,493.324316374173,-871.111326505486,1001.1013113409,1.13686837721616e-13,1.38777878078145e-15,-4.66207603691295e-06,-0.0627410674791888,-0.0353797476190314,-0.000131850629384433,0.0720288187266802,-6.66741984431223e-18,0.00217602796765984,72.1081448816154,999.924842101075,999.920107359239,-2.14388350671239,1.57085682683992,-1.57090474943772,0.0578036089232884
161124.324324324,0.101945326968575,443.742734289102,-897.270223890061,1001.00023941403,0,1.16406884131948e-13,-6.69521141439944e-06,-0.0646228069009776,-0.0318165343815673,-0.000127745010672611,0.0720304293882286,-1.13335125924994e-17,0.00215994878569728,72.102477062712,999.767587098099,999.762922803636,-2.18007117033076,1.57084649208614,-1.57092462975007,0.149998743593423
161902.702702703,0.0953644111393693,392.774397012541,-920.616685182485,1000.90300083441,-5.6843418860808e-14,-2.4161228573405e-14,-1.00387171870399e-05,-0.0663037578704857,-0.0281557260478772,-0.000121678415768003,0.0720341482365835,-1.04477278879082e-17,0.00208785816411595,72.099195132547,999.67626904073,999.671911300209,-2.20075374982592,1.57082933781162,-1.57096174979045,0.226696199661629
162681.081081081,0.0871063593194951,340.577295870368,-941.079278745818,1000.81122642316,0,4.27123614255009e-14,-1.05920937866108e-05,-0.0677788591775624,-0.0244079183102169,-0.000114062808681283,0.0720396233299299,-4.76837197656808e-18,0.00196707279812029,72.0980637758899,999.644406505678,999.64053850621,-2.20763868530393,1.57082817984174,-1.57096407172885,0.28960511471244
163459.459459459,0.0794497473386805,287.314482099478,-958.593585271649,1000.72537674444,-5.6843418860808e-14,5.03763697423665e-15,-8.98713985818816e-06,-0.0690410304355975,-0.0205820644757113,-0.000106576331187529,0.0720435561583807,7.08225423023002e-19,0.00187017838105249,72.0958148786049,999.581673605989,999.578177501936,-2.23061346258524,1.57083659483259,-1.57093850223879,0.36861262726379
164237.837837838,0.0729749775278889,233.153564266336,-973.103517775986,1000.64531486608,5.6843418860808e-14,-3.50205975330198e-14,-7.82185259984951e-06,-0.0700860537494198,-0.0166905870679196,-9.90808799350151e-05,0.0720459635996284,-1.42232713711758e-17,0.00179761535750563,72.0924559309805,999.488268644347,999.485038876993,-2.27186752735962,1.57084197422559,-1.57091880101795,0.465906443438705
165016.216216216,0.067041018607964,178.264434676627,-984.563170884421,1000.57126214331,-8.5265128291212e-14,8.24479373662257e-14,-7.52548843117689e-06,-0.0709118025859562,-0.0127466640815814,-9.11048532883738e-05,0.0720482681799985,-5.69269668025934e-18,0.00172135468649128,72.0894266281009,999.404005828363,999.401044532374,-2.31778934357052,1.57084366345294,-1.57091096036198,0.567874092142704
165794.594594595,0.0611725757133113,122.818564123486,-992.936585386711,1000.50360620782,-9.9475983006414e-14,-7.74935671188359e-14,-7.57772333444915e-06,-0.0715162229588681,-0.00876270255596137,-8.26706907433548e-05,0.0720510119662838,-1.39459739600684e-17,0.00163138212012856,72.08729730319,999.344665909378,999.342006245867,-2.36267719640201,1.57084410423412,-1.57090813894691,0.668813702776714
166572.972972973,0.0552326601116791,66.9889843519451,-998.197353117756,1000.44264345661,-7.105427357601e-14,-8.89635587419946e-14,-7.67781575757564e-06,-0.0718974598405599,-0.00475094204895268,-7.39277345616681e-05,0.0720542210804915,2.73221065048715e-19,0.0015276674208928,72.0861154099738,999.311569641894,999.309237480782,-2.40623528716488,1.57084427998067,-1.57090628392762,0.768429472260381
