TIME,theta1,theta1Dot,theta1Ddot,theta2,theta2Dot,theta2Ddot,theta3,theta3Dot,theta3Ddot,omega_x,omega_y,omega_z,Omega_x,Omega_y,Omega_z
19459.4594594595,2.83017998147762,0.000145439804603711,-0,0,0,-0,0,0,-0,2.62312472438405e-21,-1.30390213306299e-21,7.20022972195588e-05,-3.02797432896941e-28,1.50514466571173e-28,-8.31150366511241e-12
20237.8378378378,2.94338718073672,0.000145439804603711,-0,0,0,-0,0,0,-0,3.32342712647195e-21,-1.70804723264372e-21,7.19886411495489e-05,-2.93144444576623e-28,1.50659105275919e-28,-6.34979177293191e-12
21016.2162162162,3.05659437999583,0.000145439804603711,-0,0,0,-0,0,0,-0,2.95599108096865e-21,1.80420338897466e-21,7.1989085556883e-05,-4.4517059170356e-28,-2.7171201408369e-28,-1.08415157338885e-11
21794.5945945946,3.16980157925493,0.000145439804603711,-0,0,0,-0,0,0,-0,5.18112314323454e-21,3.23065956255415e-21,7.1975354922883e-05,-8.06727622781864e-28,-5.03030373312018e-28,-1.12069343597128e-11
22572.972972973,3.28300877851404,0.000145439804603711,-0,0,0,-0,0,0,-0,7.95934877276192e-23,1.25893902992437e-20,7.19535513884511e-05,-1.02307092038529e-29,-1.61820263042294e-27,-9.2486946037457e-12
23351.3513513513,3.39621597777314,0.000145439804603711,-0,0,0,-0,0,0,-0,8.09834131550192e-21,6.86446494184025e-21,7.19437712558625e-05,-1.13936151223461e-27,-9.65766550471926e-28,-1.01218213484078e-11
24129.7297297297,3.50942317703225,0.000145439804603711,-0,0,0,-0,0,0,-0,1.21073244686162e-20,1.07254298990828e-20,7.19352392827754e-05,-1.81001070961928e-27,-1.60342138619743e-27,-1.0754114489816e-11
24908.1081081081,3.62263037629135,0.000145439804603711,-0,0,0,-0,0,0,-0,-3.29838844843632e-21,1.11608748574451e-20,7.19244875374305e-05,5.00381262253572e-28,-1.69315795768994e-27,-1.09112878678624e-11
25686.4864864865,3.73583757555046,0.000145439804603711,-0,0,0,-0,0,0,-0,-6.18744131186392e-21,4.60242829576429e-21,7.19175612849385e-05,1.07676768406216e-27,-8.0093625253302e-28,-1.25154327944412e-11
26464.8648648649,3.84904477480956,0.000145439804603711,-0,0,0,-0,0,0,-0,5.87030206032365e-22,2.29915880179831e-21,7.19018150736849e-05,-1.06166545246355e-28,-4.15811221384096e-28,-1.30037044514444e-11
27243.2432432432,3.96225197406867,0.000145439804603711,-0,0,0,-0,0,0,-0,3.75640402167318e-21,3.39665644446754e-21,7.18748327018096e-05,-5.90010116588143e-28,-5.33505355986046e-28,-1.12892218668372e-11
28021.6216216216,4.07545917332777,0.000145439804603711,-0,0,0,-0,0,0,-0,-7.12125279801096e-21,1.0309872012019e-20,7.18540205490129e-05,9.85280104856406e-28,-1.42645010157419e-27,-9.94155648015471e-12
28800,4.18866637258688,0.000145439804603711,-0,0,0,-0,0,0,-0,-1.45304459973913e-21,1.12811700261819e-20,7.18437244723609e-05,2.02160219427214e-28,-1.56953462288637e-27,-9.99552464281432e-12
29578.3783783784,4.30187357184598,0.000145439804603711,-0,0,0,-0,0,0,-0,-9.3196597646389e-22,8.12764468006193e-21,7.18351694644963e-05,1.36520865937619e-28,-1.19059398924133e-27,-1.05229158442874e-11
30356.7567567568,4.41508077110509,0.000145439804603711,-0,0,0,-0,0,0,-0,3.55550993813702e-21,1.0767616365016e-20,7.18251048229022e-05,-5.43363065302788e-28,-1.64553752792073e-27,-1.09765152682192e-11
31135.1351351351,4.52828797036419,0.000145439804603711,-0,0,0,-0,0,0,-0,7.57769554893562e-21,3.885731871854e-21,7.18147730593546e-05,-1.19771637780998e-27,-6.14171508032081e-28,-1.1350908637914e-11
31913.5135135135,4.6414951696233,0.000145439804603711,-0,0,0,-0,0,0,-0,-7.73930438185767e-21,1.99900134163746e-21,7.18044974297939e-05,1.25872206679386e-27,-3.25117992021093e-28,-1.16782983263711e-11
32691.8918918919,4.7547023688824,0.000145439804603711,-0,0,0,-0,0,0,-0,6.92782189055213e-21,-2.73151999899389e-22,7.1793849254414e-05,-1.15284634388253e-27,4.54547315712116e-29,-1.1947084947302e-11
33470.2702702703,4.86790956814151,0.000145439804603711,-0,0,0,-0,0,0,-0,-3.09874002542542e-21,1.24508829248882e-20,7.17826585946531e-05,5.24053600752293e-28,-2.10567197499477e-27,-1.21397601604013e-11
