TIME,dP11,dP12,dP13,dP22,dP23,dP33
134361.727902879,1.04899275523808e-12,3.14943663462831e-10,2.83726366592876e-10,1.33314123351361e-11,5.16055828524724e-10,1.15213298448816e-11
134371.728031482,-2.8767304867776e-12,4.87205108744145e-10,1.64282483119983e-10,8.33442094737694e-12,7.84300682039078e-10,3.79587337581459e-12
134381.728160084,9.38940332735668e-12,7.9669372714674e-11,-5.85863559732474e-11,4.38484037769893e-12,8.04578247406459e-10,9.73826983625087e-12
134391.728288687,4.6981671685311e-12,-2.80320045635299e-10,1.19365616230287e-10,4.36735814725427e-13,2.75658956317746e-10,1.21898618302202e-11
134401.728417289,1.20509684036396e-12,5.50382672181704e-10,1.7467932150653e-10,1.80930609739914e-12,7.50276390539029e-10,1.8948699215747e-11
134411.728545892,-1.12827972767445e-11,1.34037090153511e-10,9.6842473509472e-11,9.29017026847202e-12,1.09717707473275e-09,8.6055400229092e-12
134421.728674494,5.6886169523141e-13,2.08396035128204e-10,2.77502705610553e-10,3.69807551239259e-12,1.43745333232109e-10,7.49928175951276e-13
134431.728803097,-1.73721540162528e-12,6.24055266705912e-10,-1.14501771560534e-10,2.99233723463129e-13,4.96009495299105e-10,1.99649406809956e-11
134441.728931699,-4.20172350718692e-13,7.82082053876392e-10,-2.73942984778136e-10,4.8410496990176e-12,2.31068018245458e-10,1.53117113645192e-11
134451.729060302,-1.00136162850355e-11,7.23426068649192e-10,5.50402760525409e-10,1.3667913093208e-11,5.61693651617919e-10,9.93465659979247e-12
134461.729188904,-8.80507779977784e-12,7.20250453370059e-10,-1.32203725996792e-10,8.30698020794714e-12,5.01660272447746e-10,2.17354163189154e-11
134471.729317507,-1.37539842000069e-12,4.13870673339755e-10,5.16863177172867e-10,-3.05651990466536e-12,4.7952237839956e-10,1.38477057775443e-12
134481.729446109,-1.53205403082797e-11,2.42680445631466e-10,1.22975585176367e-10,-7.67752651962194e-12,2.71527296650431e-10,1.84412117240913e-11
134491.729574712,-5.54167622583129e-12,1.06382854686939e-10,2.88974008915548e-10,-5.52593005258961e-13,3.75261287005238e-10,1.35814511524354e-11
134501.729703314,-1.24787562829032e-12,8.44845600659273e-10,1.78952032697426e-10,-5.2811695996163e-13,7.58032668102484e-10,8.9702938996893e-12
134511.729831917,-4.76904931802007e-13,3.78973097972388e-10,2.92872373154387e-10,1.33316619618428e-11,2.57028343513149e-10,7.99674510453893e-12
134521.729960519,-5.2887735082109e-12,2.70218539086403e-10,4.88017898372913e-10,-3.59342410034786e-12,6.48653442847948e-10,9.19314685022673e-12
134531.730089122,-1.10168730953828e-11,-2.69382818552943e-10,4.45461605356539e-10,-1.29535697418489e-13,2.05224745663401e-10,1.01302717443771e-11
134541.730217724,-1.86989067976495e-11,7.00208657123824e-10,7.33656386820546e-10,9.62122167234524e-12,5.65494664014654e-10,1.47367019540679e-11
134551.730346326,-3.78354577478548e-12,5.63955163349789e-10,8.84060523678789e-10,7.17352589861342e-12,9.47981556005906e-10,1.17311997461026e-11
134561.730474929,-4.55934944524308e-15,4.76092403632124e-10,5.1466344091372e-10,1.10031487550951e-11,3.925404500103e-10,-2.84582796570322e-12
134571.730603531,-7.36869117968436e-12,1.93620799376958e-10,9.29229757137021e-10,6.69180216652071e-13,3.35671727582338e-10,1.23731689139672e-11
134581.730732134,7.19546856128354e-12,-3.55330650241126e-10,9.03864219156338e-10,9.89943947067733e-12,6.29243523940592e-10,-9.44343106954174e-13
134591.730860736,5.21020739195384e-13,2.44180208377085e-10,7.91801651540988e-10,-8.47926381134259e-12,4.87718900199141e-10,-1.70040337855906e-12
134601.730989339,2.77099018461766e-12,3.00951187245746e-10,3.59343750041082e-10,-5.56512575319521e-13,6.91255133827246e-10,1.50183073199955e-11
134611.731117941,-1.05849809935436e-11,-1.17842047519522e-10,6.89806550297002e-10,1.11611254080314e-11,5.63644637042079e-10,1.04474992658161e-11
134621.731246544,-2.0844559650573e-11,8.20208783141654e-11,6.21603878709603e-10,-2.02151430144079e-12,3.93981711156036e-10,1.68150931146016e-11
134631.731375146,-1.005628367146e-11,-8.3509254169748e-11,2.0103766435747e-10,1.20038195336451e-11,4.12721087432933e-10,1.14554932252937e-11
134641.731503749,7.77965612210851e-13,-1.34189670220935e-10,7.54883745365496e-10,1.14602528689407e-11,3.80787454412951e-10,1.12399237745402e-11
134651.731632351,-5.28084635990162e-12,3.69945513826028e-11,7.92207260295035e-10,-7.80570315534256e-12,5.37181502069306e-10,1.15148706628728e-11
134661.731760954,-4.20974958613202e-12,-5.81331972658847e-10,4.03201998196506e-10,1.3783728682428e-12,3.30681352255318e-10,8.70777038576918e-12
134671.731889556,-7.4039484632161e-12,-5.88343845693949e-10,4.84338223254708e-10,1.01792126838211e-11,4.32661934776825e-10,8.24158640827778e-12
134681.732018159,-5.13086068815644e-12,2.56001996365508e-10,5.11247832380002e-10,5.3894840796104e-12,4.72380750204406e-10,1.62929952826178e-11
134691.732146761,-4.80124623822764e-12,1.17266860348359e-10,-2.83702380147464e-10,5.67628430752226e-12,5.50193217413465e-10,2.84626423388299e-11
134701.732275364,-7.16275653853709e-12,-8.77332157378563e-11,7.06198354955696e-10,-6.59308410154296e-12,4.72122254000453e-10,7.23723137022503e-12
134711.732403966,1.62115137130477e-12,3.0182618735575e-10,8.60195401476884e-10,1.44535519829331e-12,5.05621620963667e-10,1.69334800667386e-11
134721.732532569,-7.34231365907919e-13,1.53659985187002e-10,6.92078944321581e-10,-8.63326451708427e-12,3.41560912037132e-10,-2.23399303876305e-12
134731.732661171,2.19589208668422e-12,2.42502849562748e-10,6.94857075292176e-10,1.86139095285873e-12,3.18801276483309e-10,1.48580678048847e-11
134741.732789774,-3.90930842414924e-12,-1.60641575187258e-10,4.23309240224291e-10,9.52077388698591e-13,7.12077369381575e-10,6.32832239697945e-12
134751.732918376,-4.68708911214359e-12,-1.07198918434512e-10,1.6549790601851e-10,-6.9786018769037e-14,1.09886688556991e-09,3.20559512858228e-12
134761.733046978,-5.16287055417893e-12,-9.4588255931151e-11,8.89673181395322e-10,4.44763181477503e-12,7.5168028914128e-10,3.09515966399227e-12
134771.733175581,1.04268858915175e-11,-1.09616703711802e-10,3.65831560807633e-10,4.80338769666123e-12,7.18390170373813e-10,5.53485073568449e-12
